caseid_new,w4_xqualified,w4_status,w4_complete,w4_source,w4_duration,w4_HCMST_interview_fin_yrmo,w4_xtype,w4_xyear,w4_xmonth,w4_xmarry,w4_xlast,w4_xwave1_month,w4_xcivil,w4_xss,w4_q1,w4_q2,w4_quality,w4_attractive,w4_attractive_partner,w4_q3,w4_q4,w4_mbtiming_year,w4_mbtiming_month,w4_q5,w4_q6,w4_q7,w4_mar_year,w4_mar_month,w4_civ_year,w4_q8_a,w4_q8_b,w4_q9,w4_q10,w4_nonmbtiming_year,w4_nonmbtiming_month,relationship_quality_w4,w4_broke_up,w234_combo_breakup,pp4_ppeduc,pp4_ppeducat,pp4_ppethm,pp4_pphhhead,pp4_pphhsize,pp4_pphouse,pp4_ppincimp,pp4_ppmarit,pp4_ppmsacat,pp4_ppreg4,pp4_ppreg9,pp4_pprent,pp4_ppt01,pp4_ppt25,pp4_ppt612,pp4_ppt1317,pp4_ppt18ov,pp4_ppwork,pp4_ppnet,pp4_ppcmdate_yrmo,pp4_newer,ppa2009_services_yrmo,ppa2009_how_often_services
956591,qualified for wave 4,Retired,No,,,,different sex couple,2010,March,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,Yes,200904,No,200903,A few times a year
959381,qualified for wave 4,Active,Yes,On-line,0,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,very attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,3,0,2,Not working - other,Yes,201305,Yes,200903,Once a week
960593,qualified for wave 4,Active,Yes,On-line,4,201303,different sex couple,2011,April,Married,2,2,No,No,no,,,moderately attractive,,divorce,We both equally wanted the [divorce/separation],2011,October,,,,,,,,,,,,,,broke up,"broke up at wave 2, 3, or 4",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200903,Never
961605,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$7,500 to $9,999",Never married,Metro,Northeast,New England,Rented for cash,0,0,0,0,1,Not working - disabled,Yes,200908,No,200809,
962485,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$100,000 to $124,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201106,No,200903,Never
963573,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Associate degree,Some college,"2+ Races, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200904,Once a year or less
965575,unqualified for wave 4,,,,,,same-sex couple,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A mobile home,"$12,500 to $14,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,Yes,201305,Yes,200902,Never
966351,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,slightly attractive,very attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,3,0,2,Working - as a paid employee,Yes,201305,Yes,200905,Once a week
967663,qualified for wave 4,Active,Yes,On-line,7,201303,different sex couple,2011,April,Married,2,2,No,No,no,,,moderately attractive,,divorce,I wanted the [divorce/separation] more,2012,August,,,,,,,,,,,,,,broke up,"broke up at wave 2, 3, or 4",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,No,201305,Yes,200903,A few times a year
968782,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9th grade,Less than high school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Widowed,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - other,Yes,200904,No,200903,Once or twice a month
970742,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$25,000 to $29,999",Widowed,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201305,Yes,200903,A few times a year
971831,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010,March,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201007,No,200904,Once a week
972391,qualified for wave 4,Withdrawn,Yes,On-line,0,201304,same-sex couple,2011,May,Married,2,2,Yes,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201309,Yes,200903,Once a year or less
973581,qualified for wave 4,Active,Yes,On-line,4,201303,same-sex couple,2011,April,Married,2,2,No,Yes,yes,yes,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A building with 2 or more apartments,"$175,000 or more",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - self-employed,Yes,201305,Yes,200909,Once or twice a month
974591,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011,April,Married,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,South,,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,Yes,201107,No,200903,
976531,qualified for wave 4,Active,Yes,On-line,0,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - self-employed,Yes,201305,Yes,200903,
977741,qualified for wave 4,Active,Yes,On-line,8,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,moderately attractive,very attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A mobile home,"$30,000 to $34,999",Married,Non-Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - retired,No,201305,Yes,200903,Once a week
978651,qualified for wave 4,Do not call,No,,,,different sex couple,2010,March,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$20,000 to $24,999",Married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200904,No,200903,Once or twice a month
979711,qualified for wave 4,Retired,No,,,,different sex couple,2011,June,Married,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",5th or 6th grade,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200907,No,200903,Once a week
980603,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"Other, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$7,500 to $9,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,201305,Yes,200902,More than once a week
981733,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10th grade,Less than high school,"White, Non-Hispanic",Yes,1,A mobile home,"$30,000 to $34,999",Divorced,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,201007,No,200903,Once a week
982591,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011,July,Married,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201108,No,200905,Once a year or less
983661,qualified for wave 4,Active,Yes,On-line,2,201303,different sex couple,2011,April,Married,2,2,No,No,yes,no,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - self-employed,No,201305,Yes,200903,More than once a week
984451,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",10th grade,Less than high school,"Black, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$25,000 to $29,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,1,2,Working - as a paid employee,Yes,201306,Yes,200903,
985571,qualified for wave 4,Active,Yes,On-line,22,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Good,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$20,000 to $24,999",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201305,Yes,200902,A few times a year
986481,qualified for wave 4,Active,Yes,On-line,2,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200903,
987411,qualified for wave 4,Retired,Yes,Telephone,,201311,different sex couple,2011,June,Married,2,2,No,No,yes,yes,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,6,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,2,2,2,Working - as a paid employee,No,200904,No,200809,
988445,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A mobile home,"$40,000 to $49,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201007,No,200902,Never
989215,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010,May,Unmarried partners,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,5,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,1,0,4,Working - as a paid employee,Yes,200904,No,200903,A few times a year
990636,qualified for wave 4,Active,Yes,On-line,1,201303,same-sex couple,2011,April,Unmarried partners,2,2,No,Yes,,,Excellent,moderately attractive,moderately attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201306,Yes,201001,Once a year or less
991466,qualified for wave 4,Active,Yes,On-line,2,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,moderately attractive,very attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200903,
992341,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010,March,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Separated,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,1,0,0,1,Working - self-employed,Yes,201007,No,200902,
995656,qualified for wave 4,Active,Yes,On-line,1,201303,same-sex couple,2011,April,Married,2,2,No,Yes,yes,yes,Fair,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,3,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Non-Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200905,Once a week
996793,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",No,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,Metro,South,West-South Central,Rented for cash,0,0,0,0,1,Not working - retired,No,200904,No,200902,More than once a week
997532,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A building with 2 or more apartments,"$35,000 to $39,999",Living with partner,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201207,Yes,200902,A few times a year
998391,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010,May,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,Hispanic,Yes,5,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,1,1,0,3,Working - as a paid employee,Yes,201008,No,200902,A few times a year
999231,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Married,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,200905,No,200905,A few times a year
1000561,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010,March,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$100,000 to $124,999",Married,Non-Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201107,No,200903,
1001791,qualified for wave 4,Retired,No,,,,different sex couple,2010,March,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200904,No,200909,Once a year or less
1003291,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,June,Married,2,2,No,No,yes,yes,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Associate degree,Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,1,0,1,2,Working - as a paid employee,Yes,201310,Yes,200910,A few times a year
1004741,qualified for wave 4,Retired,Yes,Telephone,,201311,different sex couple,2011,June,Married,2,3,No,No,yes,yes,Excellent,moderately attractive,very attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200904,No,200903,Once a year or less
1005421,qualified for wave 4,Active,Yes,On-line,0,201303,different sex couple,2010,March,Married,3,2,No,No,yes,yes,Fair,moderately attractive,slightly attractive,,,,,,,,,,,,,,,,,3,still together,"still together at w4, or some follow-up w/o break-up",10th grade,Less than high school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201308,Yes,200905,Never
1006611,qualified for wave 4,Retired,Yes,Telephone,,201311,different sex couple,2011,May,Married,2,2,No,No,yes,yes,Good,slightly attractive,slightly attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201007,No,200904,Once a year or less
1008275,unqualified for wave 4,,,,,,different sex couple,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,201305,Yes,200902,Once or twice a month
1009361,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,slightly attractive,very attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house attached to one or more houses,"$50,000 to $59,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,1,1,0,2,Working - as a paid employee,Yes,201305,Yes,200903,Once a week
1010732,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$20,000 to $24,999",Widowed,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,200904,No,200903,More than once a week
1011511,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,very attractive,very attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201306,Yes,200903,A few times a year
1012583,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A building with 2 or more apartments,"$15,000 to $19,999",Divorced,Metro,Northeast,New England,Occupied without payment of cash rent,0,0,0,0,2,Working - as a paid employee,Yes,201306,Yes,200903,A few times a year
1013451,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Married,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,200905,No,200905,A few times a year
1014645,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$12,500 to $14,999",Never married,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,1,Not working - retired,No,201206,Yes,200903,
1015371,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Good,moderately attractive,very attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,2,0,2,Working - as a paid employee,Yes,201305,Yes,200903,Once or twice a month
1016205,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"2+ Races, Non-Hispanic",No,3,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,200904,No,200902,More than once a week
1017606,qualified for wave 4,Retired,Yes,Telephone,,201311,same-sex couple,2011,June,Married,2,2,No,Yes,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,1,A one-family house attached to one or more houses,"$25,000 to $29,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - looking for work,No,200903,No,200903,Never
1018641,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011,April,Married,2,3,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201007,No,200908,A few times a year
1021791,qualified for wave 4,Retired,Yes,Telephone,,201311,different sex couple,2011,June,Married,2,2,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,No,200904,No,200903,Once a week
1022721,qualified for wave 4,Retired,No,,,,different sex couple,2009,February,Married,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Not working - retired,No,200903,No,200903,
1023721,qualified for wave 4,Retired,Yes,Telephone,,201311,different sex couple,2011,June,Married,2,2,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,No,200904,No,200903,A few times a year
1024643,qualified for wave 4,Retired,Yes,Telephone,,201311,different sex couple,2010,March,Unmarried partners,3,2,No,No,,,Excellent,moderately attractive,moderately attractive,,,,,Yes,No,"No, did not marry [xnamep]",,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$30,000 to $34,999",Divorced,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - looking for work,No,200904,No,200904,Once a year or less
1025543,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$60,000 to $74,999",Divorced,Metro,Northeast,New England,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,201305,Yes,200902,A few times a year
